remark;"CSV-Import-Export"
remark;"Date = Fri Jul 29 11:57:42 2022"
remark;"Version = RSLogix 5000 v31.02"
remark;"Owner = enviro"
remark;"Company = "
0.3
TYPE;SCOPE;NAME;DESCRIPTION;DATATYPE;SPECIFIER;ATTRIBUTES
TAG;;Rack1_ENBT:3:O;"";"AB:1756_OF8_Float:O:0";"";"(ExternalAccess := Read/Write)"
TAG;;Rack1_ENBT:4:C;"";"AB:1756_IF16_Float_No_Alm:C:0";"";"(ExternalAccess := Read/Write)"
TAG;;Rack1_ENBT:4:I;"";"AB:1756_IF16_Float_No_Alm:I:0";"";"(ExternalAccess := Read/Write)"
TAG;;ALARMA_SCADA_PT_AIRE;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;ALARM_LSH100_BAT4;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;ALARM_LSH102_BAT4;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;baliza_1;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;baliza_2;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;CAL_001;"";"UDT_Calentador";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;CAL_001_INTLK;"";"F_INTLK";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;CAL_001_Latch_Parada;"";"TIMER";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;CAL_002;"";"UDT_Calentador";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;CAL_002_INTLK;"";"F_INTLK";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;CAL_002_Latch_Parada;"";"TIMER";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;CAL_003;"";"UDT_Calentador";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;CAL_003_INTLK;"";"F_INTLK";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;CAL_003_Latch_Parada;"";"TIMER";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;CAL_H03A;"";"UDT_Calentador";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;CAL_H03A_INTLK;"";"F_INTLK";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;CAL_H03A_Latch_Parada;"";"TIMER";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;CAL_H03B;"";"UDT_Calentador";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;CAL_H03B_INTLK;"";"F_INTLK";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;CAL_H03B_Latch_Parada;"";"TIMER";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;Carga_Camiones;"";"UDT_Carga_Descarga";"";"(Constant := false, ExternalAccess := Read/Write)"
